bin,p_mean,y_rate,n
"(-0.001, 0.0169]",0.014250737375257774,0.035398230088495575,226
"(0.0169, 0.0221]",0.022103214043111254,0.06896551724137931,319
"(0.0221, 0.0282]",0.027266296429250162,0.034782608695652174,115
"(0.0282, 0.0291]",0.02911534154535275,0.045307443365695796,618
"(0.0291, 0.0305]",0.03047091412742382,0.043478260869565216,92
"(0.0305, 0.0374]",0.03547694574980982,0.02403846153846154,208
"(0.0374, 0.0388]",0.03865655478999292,0.04149377593360996,241
"(0.0388, 0.0517]",0.04554625203312091,0.03488372093023256,172
"(0.0517, 0.222]",0.07439576268489476,0.04040404040404041,198
