timestamp,equity
1998-11-17 14:43:00+00:00,-26.06403027007078
1998-11-17 14:44:00+00:00,-99.62291197009307
1998-11-17 14:45:00+00:00,-149.24466426238305
1998-11-17 14:46:00+00:00,-199.06945015531073
1998-11-17 14:47:00+00:00,-234.98262693561887
1998-11-18 09:58:00+00:00,-218.50753605269637
1998-11-18 09:59:00+00:00,-209.54034627511717
1998-11-18 10:00:00+00:00,-188.92980419953886
1998-11-18 10:01:00+00:00,-179.54843014794116
1998-11-18 10:06:00+00:00,-231.3116183329687
1998-11-18 10:07:00+00:00,-282.19427326372517
1998-11-18 10:08:00+00:00,-334.9247214870313
1998-11-18 10:09:00+00:00,-377.5719870595042
1998-11-18 10:10:00+00:00,-438.1508631327412
1998-11-18 10:11:00+00:00,-471.65333364598393
1998-11-18 14:43:00+00:00,-480.67078660568154
1998-11-18 14:45:00+00:00,-507.00097685009155
1998-11-18 14:46:00+00:00,-534.3837044742629
1998-11-18 14:48:00+00:00,-541.5929390199694
1998-11-18 14:49:00+00:00,-550.5327331642759
1998-11-19 09:51:00+00:00,-556.6850819506067
1998-11-19 09:52:00+00:00,-557.7817357811616
1998-11-19 09:55:00+00:00,-563.9661260105652
1998-11-23 10:00:00+00:00,-537.0176530786484
1998-11-23 10:02:00+00:00,-516.4187079895215
1998-12-01 11:31:00+00:00,-517.5219275542786
1998-12-01 15:51:00+00:00,-557.3764644317736
1998-12-01 15:52:00+00:00,-593.5024134827567
1998-12-01 15:54:00+00:00,-612.3149910962605
1998-12-03 09:55:00+00:00,-612.506613017825
