bin,p_mean,y_rate,n
"(-0.001, 0.0264]",0.023588218555269432,0.053952321204516936,797
"(0.0264, 0.0273]",0.02725784707466949,0.047516198704103674,463
"(0.0273, 0.0285]",0.028523489932885907,0.034722222222222224,288
"(0.0285, 0.0329]",0.030271649636955472,0.014492753623188406,207
"(0.0329, 0.041]",0.03990381620924807,0.04435483870967742,248
"(0.041, 0.333]",0.08510010621730663,0.03225806451612903,186
