bin,p_mean,y_rate,n
"(-0.001, 0.0262]",0.02287788694055357,0.041474654377880185,651
"(0.0262, 0.0264]",0.02640422467594815,0.0627062706270627,606
"(0.0264, 0.0285]",0.028516173851214667,0.03460207612456748,289
"(0.0285, 0.0339]",0.03100139454498604,0.019230769230769232,208
"(0.0339, 0.0424]",0.04118844728172,0.03968253968253968,252
"(0.0424, 0.333]",0.08519183351757496,0.03278688524590164,183
