exit_ts,equity
1998-10-29 10:23:00,-34.1626134697596
1998-10-29 10:24:00,-56.10441350222182
1998-10-29 10:25:00,-68.72985865059516
1998-10-30 10:16:00,-80.87954958505011
1998-10-30 10:17:00,-110.88464807206694
1998-10-30 10:18:00,-112.03217015292194
1998-10-30 11:20:00,-91.4419456983573
1998-10-30 11:21:00,-90.59928702317909
1998-10-30 11:25:00,-83.89418357436466
1998-10-30 11:26:00,-79.66816718216869
1998-10-30 11:27:00,-65.13422627809211
1998-10-30 11:28:00,-52.20613618948132
1998-10-30 12:21:00,-57.713372267424674
1998-10-30 14:05:00,-65.59733545799374
1998-10-30 14:06:00,-92.45018041224378
1998-10-30 14:07:00,-119.65380245109692
1998-10-30 14:08:00,-199.4114621018646
1998-10-30 14:11:00,-308.9605718937328
1998-10-30 14:12:00,-387.0972272309796
1998-10-30 14:13:00,-474.17314440877
1998-10-30 14:14:00,-537.0622185006621
1998-10-30 14:15:00,-544.1340465606506
1998-10-30 14:16:00,-563.0440809347402
1998-11-02 09:51:00,-552.8678015172974
1998-11-02 09:56:00,-535.8108876451893
1998-11-02 09:57:00,-523.2556232704563
1998-11-02 09:58:00,-513.8802455371971
1998-11-02 10:02:00,-515.953880715248
1998-11-02 10:04:00,-527.0786183568406
1998-11-02 10:05:00,-536.0723306033316
1998-11-02 10:07:00,-544.088047819264
1998-11-02 10:09:00,-550.4634963088902
1998-11-02 10:10:00,-560.0528031266149
1998-11-02 11:03:00,-567.9109140671412
1998-11-04 15:58:00,-569.5207972090092
1998-11-11 09:55:00,-570.0030894519854
1998-11-11 09:56:00,-574.7315947495152
1998-11-11 09:57:00,-582.2978714925057
1998-11-11 09:58:00,-592.9213874183408
1998-11-11 09:59:00,-600.6232892060203
1998-11-11 10:00:00,-610.642028449493
1998-11-11 12:13:00,-606.7684275414621
1998-11-11 12:31:00,-606.6412376226301
1998-11-12 09:51:00,-594.2285530638644
1998-11-12 09:52:00,-581.9669770957073
1998-11-12 09:53:00,-584.2659982126119
1998-11-12 09:54:00,-571.4261325385731
1998-11-12 09:55:00,-567.6706779549744
1998-11-12 09:56:00,-564.5005296256401
1998-11-12 09:57:00,-561.8769047578977
1998-11-12 09:58:00,-562.2929420860324
1998-11-12 09:59:00,-562.3031633029972
1998-11-12 10:00:00,-563.1034845913349
1998-11-12 10:01:00,-570.9107615806358
1998-11-12 10:02:00,-578.0779770260117
1998-11-12 10:04:00,-581.4298202331387
1998-11-17 14:43:00,-601.5697024601064
1998-11-17 14:44:00,-666.8283468857635
1998-11-17 14:45:00,-710.4291911856154
1998-11-17 14:46:00,-754.2020215487278
1998-11-17 14:47:00,-786.0785051207428
1998-11-18 09:58:00,-765.9772438791715
1998-11-18 09:59:00,-753.6189733886254
1998-11-18 10:00:00,-725.08802975156
1998-11-18 10:01:00,-708.7166390264641
1998-11-18 10:06:00,-752.1918257228826
1998-11-18 10:07:00,-793.9998971648484
1998-11-18 10:08:00,-839.7323974483642
1998-11-18 10:09:00,-878.6369047955712
1998-11-18 10:10:00,-933.5713160340425
1998-11-18 10:11:00,-963.769879800024
1998-11-18 14:43:00,-969.1222078445483
1998-11-18 14:45:00,-990.1745577850188
1998-11-18 14:46:00,-1012.6914103342851
1998-11-18 14:48:00,-1018.6263195093935
1998-11-18 14:49:00,-1025.9853704281063
1998-11-19 09:51:00,-1029.6481926684748
1998-11-19 09:52:00,-1029.8320491730055
1998-11-19 09:55:00,-1033.516235326193
1998-11-23 10:00:00,-1001.8562947606704
1998-11-23 10:02:00,-977.662429374861
1998-12-01 11:31:00,-977.8618995410815
1998-12-01 15:51:00,-1013.0383916601759
1998-12-01 15:52:00,-1044.2191868276857
1998-12-01 15:54:00,-1059.6129862164935
1998-12-03 09:55:00,-1059.791546812578
1998-12-08 15:24:00,-1055.498308331511
1998-12-11 10:47:00,-1057.5013108990438
1998-12-14 10:08:00,-1068.2089332789376
1998-12-14 10:09:00,-1146.7566100419535
1998-12-14 10:10:00,-1197.7087478696656
1998-12-14 10:11:00,-1212.3356067881396
1998-12-14 10:12:00,-1224.213701725646
1998-12-16 10:09:00,-1227.9119049484261
1998-12-23 10:02:00,-1234.5497923410956
1998-12-23 10:03:00,-1236.64185724053
