bin,p_mean,y_rate,n
"(-0.001, 0.0207]",0.018508888007911048,0.037300177619893425,563
"(0.0207, 0.0216]",0.021604938271604937,0.045112781954887216,133
"(0.0216, 0.0246]",0.024213861626409507,0.05542168674698795,415
"(0.0246, 0.0268]",0.026824139560865566,0.0514018691588785,214
"(0.0268, 0.0346]",0.03275616356681118,0.039525691699604744,253
"(0.0346, 0.0457]",0.04415984233996003,0.04,350
"(0.0457, 0.0477]",0.04774535809018567,0.046153846153846156,130
"(0.0477, 0.25]",0.08184383921171476,0.030534351145038167,131
