bin,p_mean,y_rate,n
"(-0.001, 0.0169]",0.014187958796512145,0.03524229074889868,227
"(0.0169, 0.0221]",0.02210322307952044,0.06896551724137931,319
"(0.0221, 0.0282]",0.027266296429250162,0.034782608695652174,115
"(0.0282, 0.0292]",0.029246344206974126,0.043973941368078175,614
"(0.0292, 0.0305]",0.03047091412742382,0.043478260869565216,92
"(0.0305, 0.0368]",0.03492719216873352,0.02857142857142857,210
"(0.0368, 0.0388]",0.038649920943543796,0.04132231404958678,242
"(0.0388, 0.0517]",0.045546247665928616,0.03488372093023256,172
"(0.0517, 0.222]",0.07436091512350554,0.04040404040404041,198
