timestamp,equity
1998-10-30 10:17:00+00:00,-7.891137909427536
1998-10-30 14:08:00+00:00,-30.595551977582268
1998-10-30 14:11:00+00:00,-56.27037320864981
1998-10-30 14:12:00+00:00,-63.10598513624302
1998-10-30 14:13:00+00:00,-70.88731247218013
1998-10-30 14:14:00+00:00,-73.00853056524093
1998-11-03 09:45:00+00:00,-74.33387819820838
1998-11-12 09:54:00+00:00,-74.02852811571398
1998-11-12 09:55:00+00:00,-75.0990871376214
1998-11-12 09:56:00+00:00,-75.71614735220143
1998-11-12 10:04:00+00:00,-92.46914192509874
