timestamp,p_raw,p_cal,y,is_entry,weight,pnl
1998-10-01 09:37:00,0.4554988065716946,0.32575757575757575,0,0,0.0,-0.026782517365669833
1998-10-01 09:39:00,0.4835670392759804,0.3486486486486486,0,0,0.0,-0.018015848165900072
1998-10-01 10:10:00,0.45736775596830676,0.3481481481481481,0,0,0.0,-0.026782517365669833
1998-10-01 10:12:00,0.46110897588351163,0.3481481481481481,0,0,0.0,-0.018015848165900072
1998-10-01 10:43:00,0.467407372399575,0.3481481481481481,0,0,0.0,-0.018179608700935712
1998-10-01 11:03:00,0.431391906608939,0.32575757575757575,0,0,0.0,-0.027269413051403513
1998-10-01 11:06:00,0.46830830796293266,0.3481481481481481,0,0,0.0,-0.01834637364793601
1998-10-01 11:29:00,0.44458928267838793,0.32575757575757575,0,0,0.0,-0.02751956047190396
1998-10-01 14:16:00,0.4647889364817266,0.3481481481481481,0,0,0.0,-0.02751956047190396
1998-10-01 14:35:00,0.47401924665318257,0.3486486486486486,0,0,0.0,-0.03669274729587191
1998-10-01 14:36:00,0.46405825133511436,0.3481481481481481,0,0,0.0,-0.03669274729587191
1998-10-02 09:34:00,0.4710582287348853,0.3481481481481481,0,0,0.0,-0.037032452904918634
1998-10-02 09:48:00,0.48197430462431745,0.3486486486486486,0,0,0.0,-0.037032452904918634
1998-10-02 09:59:00,0.4644126520807841,0.3481481481481481,0,0,0.0,-0.028033880518701815
1998-10-02 10:08:00,0.4722274978054859,0.34833124930616466,0,0,0.0,-0.01886554515876826
1998-10-02 10:12:00,0.4724742282805529,0.3486486486486486,0,0,0.0,-0.01886554515876826
1998-10-02 10:21:00,0.4722917145246415,0.3485446930121599,0,0,0.0,-0.009522597071928818
1998-10-02 10:35:00,0.4708003108422321,0.3481481481481481,0,0,0.0,-0.019045194143857413
1998-10-02 10:43:00,0.49311621990983634,0.3486486486486486,0,0,0.0,0.0
1998-10-02 11:03:00,0.45234098677461615,0.32575757575757575,0,0,0.0,-0.038456594946145284
1998-10-02 11:16:00,0.4835905929980842,0.3486486486486486,0,0,0.0,-0.038456594946145284
1998-10-02 11:19:00,0.5084592685332461,0.3486486486486486,0,0,0.0,-0.047612985359643645
1998-10-02 11:21:00,0.45115482149527675,0.32575757575757575,0,0,0.0,-0.038456594946145284
1998-10-02 11:23:00,0.4154324935583756,0.32575757575757575,0,0,0.0,-0.038456594946145284
1998-10-02 11:28:00,0.5096358998032995,0.3486486486486486,0,0,0.0,-0.047612985359643645
1998-10-02 11:29:00,0.3766290713373694,0.32575757575757575,0,0,0.0,-0.038456594946145284
1998-10-02 11:37:00,0.45875842330839656,0.3481481481481481,0,0,0.0,-0.047612985359643645
1998-10-02 11:49:00,0.46308518718821945,0.3481481481481481,0,0,0.0,-0.02912243361798217
1998-10-02 11:57:00,0.4076898777800715,0.32575757575757575,0,0,0.0,-0.038456594946145284
1998-10-02 12:13:00,0.4477581188462217,0.32575757575757575,0,0,0.0,-0.02912243361798217
1998-10-02 12:50:00,0.6909462596343828,0.5,0,0,0.0,0.0
1998-10-02 12:51:00,0.4903343845788688,0.3486486486486486,0,0,0.0,-0.019605273504049503
1998-10-02 14:37:00,0.4674398162082371,0.3481481481481481,1,0,0.0,0.010099646242337501
1998-10-02 14:49:00,0.3991688517718285,0.32575757575757575,0,0,0.0,0.0
