ts,µ,σ²,qty_next_bar,realised_pnl,unrealised_pnl,equity
1998-08-31 15:47:00,-0.021052975288415283,6.339169267770434e-05,2489,0.0,0.0,100000.0
1998-08-31 15:53:00,-0.021091183824462907,6.341169570470018e-05,2489,0.0,0.0,100000.0
1998-09-01 09:34:00,-0.02102442615933706,6.327397499975834e-05,2536,0.0,0.0,100000.0
1998-09-01 09:35:00,-0.02102070139082506,5.9169309892470526e-05,2536,0.0,0.0,100000.0
1998-09-01 09:46:00,-0.02193968917739591,6.346613032166154e-05,2512,0.0,0.0,100000.0
1998-09-01 09:48:00,-0.021932568395928567,6.34641229791646e-05,2489,0.0,0.0,100000.0
1998-09-01 09:55:00,-0.0219945031462115,6.337745555330768e-05,2512,0.0,0.0,100000.0
1998-09-01 09:56:00,-0.021001620416571765,6.329435011649181e-05,2560,0.0,0.0,100000.0
1998-09-01 09:59:00,-0.020480581902867178,5.885269349641328e-05,2584,0.0,0.0,100000.0
1998-09-01 10:03:00,-0.021004389595775108,6.320166102171318e-05,2584,0.0,0.0,100000.0
1998-09-01 10:05:00,-0.021026069103577818,6.311909569493723e-05,2609,0.0,0.0,100000.0
1998-09-01 10:06:00,-0.021030961150003875,6.318607803499082e-05,2609,0.0,0.0,100000.0
1998-09-01 10:07:00,-0.021033349947386558,6.329544728078e-05,2609,0.0,0.0,100000.0
1998-09-01 10:09:00,-0.021048072131170714,6.332905497607698e-05,2609,0.0,0.0,100000.0
1998-09-01 10:11:00,-0.021069238942197824,6.333280162498081e-05,2609,0.0,0.0,100000.0
1998-09-01 10:12:00,-0.02106570060735583,6.335947883872173e-05,2609,0.0,0.0,100000.0
1998-09-01 10:14:00,-0.02107543988711688,6.33942101560361e-05,2634,0.0,0.0,100000.0
1998-09-01 10:15:00,-0.021067582049280636,5.969113612553032e-05,2660,0.0,0.0,100000.0
1998-09-01 10:16:00,-0.021057898389520317,6.339137892056702e-05,2634,0.0,0.0,100000.0
1998-09-01 10:18:00,-0.021944188855769858,6.353295873432746e-05,2634,0.0,0.0,100000.0
1998-09-01 10:19:00,-0.02250989274129458,5.8484795952861026e-05,2634,0.0,0.0,100000.0
1998-09-01 10:20:00,-0.022488944254917646,5.84002110401299e-05,2634,0.0,0.0,100000.0
1998-09-01 10:22:00,-0.02250190615356342,5.8293021137006315e-05,2634,0.0,0.0,100000.0
1998-09-01 10:26:00,-0.022531253563851814,5.821315451196821e-05,2634,0.0,0.0,100000.0
