bin,p_mean,y_rate,n
"(-0.001, 0.0259]",0.015725448122479033,0.030973451327433628,226
"(0.0259, 0.0291]",0.029019058228115537,0.0436046511627907,688
"(0.0291, 0.0294]",0.029399412011759763,0.056,750
"(0.0294, 0.0346]",0.03463203463203463,0.027777777777777776,144
"(0.0346, 0.0571]",0.04861557150442154,0.03361344537815126,238
"(0.0571, 0.15]",0.07692733192733192,0.027972027972027972,143
