exit_ts,equity
1998-08-26 12:20:00+00:00,-9.521028570000029
1998-08-26 12:20:00+00:00,-19.042057140000058
1998-08-26 12:41:00+00:00,-40.34374629000043
1998-08-26 12:41:00+00:00,-61.64543544000081
1998-08-26 12:49:00+00:00,-93.6692226400003
1998-08-26 12:49:00+00:00,-125.6930098399998
1998-08-26 12:51:00+00:00,-148.67795913999888
1998-08-26 12:51:00+00:00,-171.66290843999795
1998-08-26 14:03:00+00:00,-271.77986433999706
1998-08-26 14:03:00+00:00,-371.89682023999615
1998-08-26 14:05:00+00:00,-375.179001289996
1998-08-26 14:05:00+00:00,-378.46118233999584
1998-08-26 15:14:00+00:00,-410.4787112999961
1998-08-26 15:14:00+00:00,-442.4962402599964
1998-08-26 15:52:00+00:00,-441.0086688599964
1998-08-26 15:52:00+00:00,-439.52109745999644
1998-08-26 15:53:00+00:00,-440.2960846599961
1998-08-26 15:53:00+00:00,-441.07107185999575
1998-08-26 15:58:00+00:00,-442.7170033599957
1998-08-26 15:58:00+00:00,-444.3629348599957
1998-08-27 09:49:00+00:00,-450.90784513999574
1998-08-27 09:49:00+00:00,-457.4527554199958
1998-08-27 09:54:00+00:00,-521.4878133399964
1998-08-27 09:54:00+00:00,-585.5228712599969
1998-08-27 10:03:00+00:00,-595.1337838099968
1998-08-27 10:03:00+00:00,-604.7446963599966
1998-08-27 10:08:00+00:00,-607.9546278599965
1998-08-27 10:08:00+00:00,-611.1645593599965
1998-08-27 10:37:00+00:00,-612.6770182399963
1998-08-27 10:37:00+00:00,-614.1894771199961
1998-08-27 10:38:00+00:00,-617.3987813199961
1998-08-27 10:38:00+00:00,-620.6080855199962
1998-08-27 10:39:00+00:00,-663.6463879355849
1998-08-27 10:39:00+00:00,-706.6846903511737
1998-08-27 10:41:00+00:00,-718.168416811174
1998-08-27 10:41:00+00:00,-729.6521432711743
1998-08-27 10:47:00+00:00,-729.9569585111744
1998-08-27 10:47:00+00:00,-730.2617737511746
1998-08-27 11:02:00+00:00,-725.7932067611746
1998-08-27 11:02:00+00:00,-721.3246397711746
1998-08-27 11:09:00+00:00,-730.8431699111746
1998-08-27 11:09:00+00:00,-740.3617000511747
1998-08-27 11:10:00+00:00,-745.2860612711748
1998-08-27 11:10:00+00:00,-750.210422491175
1998-08-27 11:24:00+00:00,-874.1051407544235
1998-08-27 11:24:00+00:00,-997.999859017672
1998-08-27 11:26:00+00:00,-1021.8102234976719
1998-08-27 11:26:00+00:00,-1045.620587977672
1998-08-27 11:34:00+00:00,-1103.2559157576723
1998-08-27 11:34:00+00:00,-1160.8912435376726
1998-08-27 11:58:00+00:00,-1224.163830737672
1998-08-27 11:58:00+00:00,-1287.4364179376714
1998-08-27 11:59:00+00:00,-1386.5169426976715
1998-08-27 11:59:00+00:00,-1485.5974674576717
1998-08-27 12:00:00+00:00,-1548.4825610576713
1998-08-27 12:00:00+00:00,-1611.367654657671
1998-08-27 12:34:00+00:00,-1650.8204984976712
1998-08-27 12:34:00+00:00,-1690.2733423376715
1998-08-27 12:36:00+00:00,-1740.8838650676714
1998-08-27 12:36:00+00:00,-1791.4943877976714
1998-08-27 12:38:00+00:00,-1799.4035663976715
1998-08-27 12:38:00+00:00,-1807.3127449976716
1998-08-27 12:48:00+00:00,-1870.572832677672
1998-08-27 12:48:00+00:00,-1933.8329203576725
1998-08-27 12:56:00+00:00,-1972.2351815076722
1998-08-27 12:56:00+00:00,-2010.637442657672
1998-08-27 13:01:00+00:00,-2013.845493957672
1998-08-27 13:01:00+00:00,-2017.053545257672
1998-08-27 14:34:00+00:00,-2048.4363278776723
1998-08-27 14:34:00+00:00,-2079.819110497672
1998-08-27 15:11:00+00:00,-2136.327623917672
1998-08-27 15:11:00+00:00,-2192.836137337672
1998-08-27 15:13:00+00:00,-2247.907131417672
1998-08-27 15:13:00+00:00,-2302.9781254976724
1998-08-27 15:14:00+00:00,-2378.586379467673
1998-08-27 15:14:00+00:00,-2454.1946334376735
1998-08-27 15:19:00+00:00,-2595.5492628776733
1998-08-27 15:19:00+00:00,-2736.903892317673
1998-08-27 15:35:00+00:00,-2755.792026507673
1998-08-27 15:35:00+00:00,-2774.6801606976733
1998-08-27 15:42:00+00:00,-2906.045964145868
1998-08-27 15:42:00+00:00,-3037.4117675940624
1998-08-27 15:44:00+00:00,-3098.1544259340626
1998-08-27 15:44:00+00:00,-3158.8970842740628
1998-08-27 15:47:00+00:00,-3165.234879774063
1998-08-27 15:47:00+00:00,-3171.572675274063
1998-08-27 15:55:00+00:00,-3209.5248859740627
1998-08-27 15:55:00+00:00,-3247.4770966740625
1998-08-27 15:57:00+00:00,-3335.9825467740616
1998-08-27 15:57:00+00:00,-3424.4879968740606
