timestamp,equity,realized_pnl,unrealised_pnl,qty_next_bar,mu_raw,mu_net,mu_cal,sigma_sq,var_down,residual,position_size,open,close,cluster_id,notional_abs,adv_used,p_up,p_source,is_entry,frac,cum_return,mu,ret1m,p,regime
1998-08-27 11:59:00,100000.0,0.0,0.0,0,-0.0012706243382704728,-0.0012383715006280176,-0.0012383715006280176,4.0023010422178094e-05,8.824806610045218e-06,2.2011969089508057,0.0,4.2747,4.3484,49,0.0,7123.0,0.16612513544404592,isotonic,False,0.0,0.0,-0.0012706243382704728,,,CHOPPY
1998-09-08 09:36:00,100000.0,0.0,0.0,0,-0.001240701469549012,-0.0012349960945657146,-0.0012349960945657146,3.398489878408189e-05,7.271800223910795e-06,0.3904455900192261,0.0,3.9062,3.9062,43,0.0,13737.5,0.16758158145797789,isotonic,False,0.0,0.0,-0.001240701469549012,,,CHOPPY
1998-09-18 09:33:00,100000.0,0.0,0.0,0,0.0002123464835657625,0.00020647937616524929,0.00020647937616524929,5.274916368581216e-05,1.409383921088373e-05,2.4015369415283203,0.05499991559552181,4.6008,4.6008,7,0.0,13280.0,0.2418717505328314,isotonic,False,0.0,0.0,0.0002123464835657625,,,CHOPPY
1998-10-02 12:50:00,100000.0,0.0,0.0,7742,0.0011384252964483743,0.0010616481109081354,0.0010616481109081354,4.085288698812246e-05,2.004203555907513e-05,6.112143039703369,0.23714265457172642,3.7405,3.7405,63,0.0,51732.75,0.29085803724745996,isotonic,True,0.5791921807850664,0.0,0.0011384252964483743,0.0,0.29085803724745996,CHOPPY
1998-10-09 09:55:00,100000.0,0.0,0.0,0,-0.0005344525894401611,-0.0005213343305611373,-0.0005213343305611373,4.844344603629221e-05,1.0965524765982009e-05,2.126678228378296,0.0,3.0298,3.0298,30,23456.7116,48370.6,0.202581689967538,isotonic,False,0.0,0.0,-0.0005344525894401611,,,CHOPPY
1998-10-12 11:30:00,99710.4492,-289.5507999999991,0.0,0,-5.1415553833599365e-05,-5.098977414530749e-05,-5.098977414530749e-05,4.917868504081078e-05,1.1706768078269716e-05,0.7057384252548218,0.0,2.9924,2.9924,63,0.0,45126.666666666664,0.22784643961383233,isotonic,False,0.0,-0.0028955079999999356,-5.1415553833599365e-05,,,CHOPPY
1998-10-13 10:52:00,99710.4492,0.0,0.0,0,0.0006415898516817623,0.0006195493869663944,0.0006195493869663944,4.733646647750111e-05,2.1334956507257662e-05,3.00667667388916,0.1341312742963197,2.768,2.768,63,0.0,46557.142857142855,0.2647584587386465,isotonic,False,0.0,-0.0028955079999999356,0.0006415898516817623,,,CHOPPY
1998-10-13 12:04:00,99710.4492,0.0,0.0,796,0.0007518951536864848,0.0007303251603769383,0.0007303251603769383,5.746103896119822e-05,9.25862743549768e-06,2.49617862701416,0.24001752788601696,2.6931,2.6931,63,0.0,42387.5,0.27060568963233195,isotonic,True,0.043043585306310764,-0.0028955079999999356,0.0007518951536864848,0.0,0.27060568963233195,CHOPPY
1998-10-14 11:38:00,99710.4492,0.0,0.0,7832,0.0012942668883576436,0.001272611669334203,0.001272611669334203,5.544954941651482e-05,1.696930540027986e-05,1.4381645917892456,0.30893269156153963,2.6557,2.6557,48,2113.9372,39163.0,0.29892504414792825,isotonic,True,0.792753319552641,-0.0028955079999999356,0.0012942668883576436,0.0,0.29892504414792825,CHOPPY
1998-10-16 09:33:00,99650.9084,-59.540799999999805,0.0,0,-0.00011087849223741046,-0.00010395642649543068,-0.00010395642649543068,5.3024555317060144e-05,3.4533546777551495e-05,5.6276397705078125,0.0,2.5809,2.5809,19,0.0,38087.2,0.22471384507469794,isotonic,False,0.0,-0.003490915999999955,-0.00011087849223741046,,,CHOPPY
1998-10-16 11:16:00,99650.9084,0.0,0.0,0,-0.0003183792823337808,-0.00031556595293280685,-0.00031556595293280685,4.2781279297780625e-05,7.12258090863995e-06,0.7534810900688171,0.0,2.768,2.768,32,0.0,35612.09090909091,0.21379597654836305,isotonic,False,0.0,-0.003490915999999955,-0.0003183792823337808,,,CHOPPY
1998-10-16 11:23:00,99650.9084,0.0,0.0,0,0.0006385847627112621,0.0006355179316660586,0.0006355179316660586,4.9440668752866446e-05,1.783638779281728e-05,0.40785327553749084,0.15047846620935382,2.6931,2.6931,1,0.0,37378.666666666664,0.2645984243633757,isotonic,False,0.0,-0.003490915999999955,0.0006385847627112621,,,CHOPPY
1998-10-19 09:44:00,99650.9084,0.0,0.0,8355,0.0014742144097293975,0.001456083098327426,0.001456083098327426,5.032113220673648e-05,1.7712375283774142e-05,1.0524100065231323,0.345977421792114,2.6183,2.5809,26,0.0,41778.230769230766,0.30804713075505014,isotonic,True,1.0,-0.003490915999999955,0.0014742144097293975,0.0,0.30804713075505014,CHOPPY
